reportDate,2019-09-30
currentCash,23557000000
shortTermInvestments,20146000000
receivables,16585000000
inventory,18766000000
otherCurrentAssets,None
currentAssets,79054000000
longTermInvestments,568000000
propertyPlantEquipment,90776000000
goodwill,14734000000
intangibleAssets,0
otherAssets,13967000000
totalAssets,199099000000
accountsPayable,35794000000
currentLongTermDebt,12219000000
otherCurrentLiabilities,21281000000
totalCurrentLiabilities,72136000000
longTermDebt,59530000000
otherLiabilities,10925000000
minorityInterest,0
totalLiabilities,142591000000
commonStock,495000000
retainedEarnings,27952000000
treasuryStock,1837000000
capitalSurplus,31817000000
shareholderEquity,56508000000
netTangibleAssets,41774000000
