effectiveDate,fullName,reportedTitle,tranShares,tranPrice,tranValue,directIndirect,tranCode
2019-11-15,Brian T. Olsavsky,Senior Vice President and CFO,-285,,,D,M
2019-11-15,Brian T. Olsavsky,Senior Vice President and CFO,-1480,,,D,M
2019-11-15,Brian T. Olsavsky,Senior Vice President and CFO,-1265,1760.05,-2226463.25,D,S
2019-11-15,Brian T. Olsavsky,Senior Vice President and CFO,285,0.0,0.0,D,M
2019-11-15,Brian T. Olsavsky,Senior Vice President and CFO,1480,0.0,0.0,D,M
2019-11-15,Daniel P. Huttenlocher,Director,-377,,,D,M
2019-11-15,Daniel P. Huttenlocher,Director,377,0.0,0.0,D,M
2019-11-15,Shelley L. Reynolds,Vice President,-61,,,D,M
2019-11-15,Shelley L. Reynolds,Vice President,-318,,,D,M
2019-11-15,Shelley L. Reynolds,Vice President,-20,1760.82,-35216.4,D,S
2019-11-15,Shelley L. Reynolds,Vice President,-10,1756.87,-17568.7,D,S
2019-11-15,Shelley L. Reynolds,Vice President,-20,1755.4,-35108.0,D,S
2019-11-15,Shelley L. Reynolds,Vice President,-30,1753.66,-52609.8,D,S
2019-11-15,Shelley L. Reynolds,Vice President,-40,1752.89,-70115.6,D,S
2019-11-15,Shelley L. Reynolds,Vice President,-30,1750.69,-52520.7,D,S
2019-11-15,Shelley L. Reynolds,Vice President,-110,1749.3,-192423.0,D,S
2019-11-15,Shelley L. Reynolds,Vice President,-69,1747.93,-120607.17,D,S
2019-11-15,Shelley L. Reynolds,Vice President,-40,1746.89,-69875.6,D,S
2019-11-15,Shelley L. Reynolds,Vice President,-10,1745.46,-17454.6,D,S
2019-11-15,Shelley L. Reynolds,Vice President,61,0.0,0.0,D,M
2019-11-15,Shelley L. Reynolds,Vice President,318,0.0,0.0,D,M
2019-11-15,Thomas O. Ryder,Director,-359,,,D,M
2019-11-15,Thomas O. Ryder,Director,359,0.0,0.0,D,M
2019-11-15,Jonathan Jake Rubinstein,Director,-359,,,D,M
2019-11-15,Jonathan Jake Rubinstein,Director,359,0.0,0.0,D,M
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,-4500,,,D,M
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,-864,,,D,M
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,-2709,,,D,M
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,-100,1733.0,-173300.0,I,S
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,-100,1735.5,-173550.0,I,S
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,-575,1737.77,-999217.75,I,S
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,-200,1740.0,-348000.0,I,S
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,-100,1746.01,-174601.0,I,S
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,-579,1747.03,-1011530.37,I,S
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,-421,1747.51,-735701.71,I,S
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,-600,1748.95,-1049370.0,I,S
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,-500,1750.3,-875150.0,I,S
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,-300,1751.48,-525444.0,I,S
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,4500,0.0,0.0,I,M
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,864,0.0,0.0,I,M
2019-11-15,Jeffrey A. Wilke,CEO Worldwide Consumer,2709,0.0,0.0,I,M
2019-11-15,Patricia Q. Stonesifer,Director,-359,,,D,M
2019-11-15,Patricia Q. Stonesifer,Director,359,0.0,0.0,D,M
2019-11-15,David A. Zapolsky,Senior Vice President,-714,,,D,M
2019-11-15,David A. Zapolsky,Senior Vice President,-1051,,,D,M
2019-11-15,David A. Zapolsky,Senior Vice President,-222,0.0,0.0,D,G
2019-11-15,David A. Zapolsky,Senior Vice President,-100,1759.34,-175934.0,D,S
2019-11-15,David A. Zapolsky,Senior Vice President,-100,1756.86,-175686.0,D,S
2019-11-15,David A. Zapolsky,Senior Vice President,-100,1750.9,-175090.0,D,S
2019-11-15,David A. Zapolsky,Senior Vice President,-100,1749.66,-174966.0,D,S
2019-11-15,David A. Zapolsky,Senior Vice President,-380,1748.08,-664270.4,D,S
2019-11-15,David A. Zapolsky,Senior Vice President,-100,1746.2,-174620.0,D,S
2019-11-15,David A. Zapolsky,Senior Vice President,714,0.0,0.0,D,M
2019-11-15,David A. Zapolsky,Senior Vice President,1051,0.0,0.0,D,M
2019-11-15,Andrew R. Jassy,CEO Amazon Web Services,-4500,,,D,M
2019-11-15,Andrew R. Jassy,CEO Amazon Web Services,-2434,,,D,M
2019-11-15,Andrew R. Jassy,CEO Amazon Web Services,-1139,,,D,M
2019-11-15,Andrew R. Jassy,CEO Amazon Web Services,-700,1759.86,-1231902.0,D,S
2019-11-15,Andrew R. Jassy,CEO Amazon Web Services,-200,1756.84,-351368.0,D,S
2019-11-15,Andrew R. Jassy,CEO Amazon Web Services,-200,1753.95,-350790.0,D,S
2019-11-15,Andrew R. Jassy,CEO Amazon Web Services,-100,1752.8,-175280.0,D,S
2019-11-15,Andrew R. Jassy,CEO Amazon Web Services,-300,1752.11,-525633.0,D,S
2019-11-15,Andrew R. Jassy,CEO Amazon Web Services,-500,1749.76,-874880.0,D,S
2019-11-15,Andrew R. Jassy,CEO Amazon Web Services,-601,1748.47,-1050830.47,D,S
2019-11-15,Andrew R. Jassy,CEO Amazon Web Services,-429,1747.52,-749686.08,D,S
2019-11-15,Andrew R. Jassy,CEO Amazon Web Services,-200,1745.9,-349180.0,D,S
2019-11-15,Andrew R. Jassy,CEO Amazon Web Services,4500,0.0,0.0,D,M
2019-11-15,Andrew R. Jassy,CEO Amazon Web Services,2434,0.0,0.0,D,M
2019-11-15,Andrew R. Jassy,CEO Amazon Web Services,1139,0.0,0.0,D,M
2019-11-15,Jeff M. Blackburn,Senior Vice President,-1881,,,D,M
2019-11-15,Jeff M. Blackburn,Senior Vice President,-1692,,,D,M
2019-11-15,Jeff M. Blackburn,Senior Vice President,-800,1759.97,-1407976.0,D,S
2019-11-15,Jeff M. Blackburn,Senior Vice President,-100,1756.87,-175687.0,D,S
2019-11-15,Jeff M. Blackburn,Senior Vice President,-400,1753.89,-701556.0,D,S
2019-11-15,Jeff M. Blackburn,Senior Vice President,-300,1752.96,-525888.0,D,S
2019-11-15,Jeff M. Blackburn,Senior Vice President,-100,1751.26,-175126.0,D,S
2019-11-15,Jeff M. Blackburn,Senior Vice President,-500,1749.47,-874735.0,D,S
2019-11-15,Jeff M. Blackburn,Senior Vice President,-719,1748.67,-1257293.73,D,S
2019-11-15,Jeff M. Blackburn,Senior Vice President,-554,1747.09,-967887.86,D,S
2019-11-15,Jeff M. Blackburn,Senior Vice President,-100,1745.64,-174564.0,D,S
2019-11-15,Jeff M. Blackburn,Senior Vice President,1881,0.0,0.0,D,M
2019-11-15,Jeff M. Blackburn,Senior Vice President,1692,0.0,0.0,D,M
2019-11-13,Jeffrey P. Bezos,"Chairman, CEO and President; Director",-471,0.0,0.0,D,G
2019-11-12,Jeffrey P. Bezos,"Chairman, CEO and President; Director",-1970,0.0,0.0,D,G
2019-10-28,Judith A. McGrath,Director,-304,1749.91,-531972.64,D,S
2019-10-04,Indra Krishnamurthy Nooyi,Director,100,1726.06,172606.0,D,P
2019-09-12,Daniel P. Huttenlocher,Director,516,,,D,A
2019-09-12,Thomas O. Ryder,Director,516,,,D,A
2019-09-12,Jonathan Jake Rubinstein,Director,516,,,D,A
2019-09-12,Jeffrey A. Wilke,CEO Worldwide Consumer,-1200,1846.48,-2215776.0,I,S
2019-09-12,Jeffrey A. Wilke,CEO Worldwide Consumer,-1000,1847.29,-1847290.0,I,S
2019-09-12,Jeffrey A. Wilke,CEO Worldwide Consumer,-300,1848.53,-554559.0,I,S
2019-09-12,Jeffrey A. Wilke,CEO Worldwide Consumer,-100,1850.04,-185004.0,I,S
2019-09-12,Jeffrey A. Wilke,CEO Worldwide Consumer,-200,1852.01,-370402.0,I,S
2019-09-12,Patricia Q. Stonesifer,Director,516,,,D,A
2019-09-03,Jeffrey A. Wilke,CEO Worldwide Consumer,-100,1781.94,-178194.0,I,S
2019-09-03,Jeffrey A. Wilke,CEO Worldwide Consumer,-100,1786.59,-178659.0,I,S
2019-09-03,Jeffrey A. Wilke,CEO Worldwide Consumer,-300,1787.91,-536373.0,I,S
2019-09-03,Jeffrey A. Wilke,CEO Worldwide Consumer,-400,1789.63,-715852.0,I,S
2019-09-03,Jeffrey A. Wilke,CEO Worldwide Consumer,-300,1791.13,-537339.0,I,S
2019-09-03,Jeffrey A. Wilke,CEO Worldwide Consumer,-200,1791.97,-358394.0,I,S
2019-09-03,Jeffrey A. Wilke,CEO Worldwide Consumer,-300,1793.46,-538038.0,I,S
2019-09-03,Jeffrey A. Wilke,CEO Worldwide Consumer,-250,1795.23,-448807.5,I,S
2019-09-03,Jeffrey A. Wilke,CEO Worldwide Consumer,-350,1796.11,-628638.5,I,S
2019-09-03,Jeffrey A. Wilke,CEO Worldwide Consumer,-200,1799.81,-359962.0,I,S
2019-08-29,Jeff M. Blackburn,Senior Vice President,-203,1797.6,-364912.8,D,S
2019-08-29,Jeff M. Blackburn,Senior Vice President,-900,1796.72,-1617048.0,D,S
2019-08-29,Jeff M. Blackburn,Senior Vice President,-700,1795.79,-1257053.0,D,S
2019-08-29,Jeff M. Blackburn,Senior Vice President,-1100,1794.69,-1974159.0,D,S
2019-08-29,Jeff M. Blackburn,Senior Vice President,-700,1793.69,-1255583.0,D,S
2019-08-29,Jeff M. Blackburn,Senior Vice President,-955,1792.34,-1711684.7,D,S
2019-08-29,Jeff M. Blackburn,Senior Vice President,-475,1790.78,-850620.5,D,S
2019-08-29,Jeff M. Blackburn,Senior Vice President,-400,1789.07,-715628.0,D,S
2019-08-29,Jeff M. Blackburn,Senior Vice President,-300,1787.29,-536187.0,D,S
2019-08-29,Jeff M. Blackburn,Senior Vice President,-300,1784.98,-535494.0,D,S
2019-08-29,Jeff M. Blackburn,Senior Vice President,-700,1782.75,-1247925.0,D,S
2019-08-29,Jeff M. Blackburn,Senior Vice President,-100,1781.05,-178105.0,D,S
2019-08-29,Jeff M. Blackburn,Senior Vice President,-211,1779.79,-375535.69,D,S
2019-08-29,Jeff M. Blackburn,Senior Vice President,-100,1778.15,-177815.0,D,S
2019-08-26,Jeffrey A. Wilke,CEO Worldwide Consumer,-100,1749.92,-174992.0,I,S
2019-08-26,Jeffrey A. Wilke,CEO Worldwide Consumer,-100,1751.19,-175119.0,I,S
2019-08-26,Jeffrey A. Wilke,CEO Worldwide Consumer,-100,1752.97,-175297.0,I,S
2019-08-26,Jeffrey A. Wilke,CEO Worldwide Consumer,-104,1754.42,-182459.68,I,S
2019-08-26,Jeffrey A. Wilke,CEO Worldwide Consumer,-296,1755.12,-519515.52,I,S
2019-08-26,Jeffrey A. Wilke,CEO Worldwide Consumer,-100,1756.88,-175688.0,I,S
2019-08-26,Jeffrey A. Wilke,CEO Worldwide Consumer,-300,1758.3,-527490.0,I,S
2019-08-26,Jeffrey A. Wilke,CEO Worldwide Consumer,-200,1759.68,-351936.0,I,S
2019-08-26,Jeffrey A. Wilke,CEO Worldwide Consumer,-600,1761.14,-1056684.0,I,S
